OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-09-20T23:36:24.024096,13.76708987,.00260064,90.2179,73.9874,6.8250,155.6529,0,U,900,999,8460,.42459677E-3,.427E-5,0
CALSPHERE 2,1964-063E,2026-09-20T17:22:42.882816,13.52906459,.00171663,90.2291,78.0400,314.3962,56.7386,0,U,902,999,86918,.33275004E-4,.31E-6,0
LCS 1,1965-034C,2026-09-20T09:27:03.945888,9.89310770,.00111164,32.1440,310.9779,100.2673,259.9078,0,U,1361,999,21931,.76943999E-3,.14E-6,0
TEMPSAT 1,1965-065E,2026-09-20T14:20:52.942272,13.33598819,.00692612,90.0071,212.6158,342.3528,192.5007,0,U,1512,999,97276,.71883721E-4,.44E-6,0
CALSPHERE 4A,1965-065H,2026-09-20T22:24:13.216320,13.36291766,.00690797,89.8892,121.5187,192.0319,299.0912,0,U,1520,999,97549,.10834963E-3,.66E-6,0
OPS 5712 (P/L 160),1967-053A,2026-09-20T22:19:27.069888,14.78774828,.0003823,69.9162,163.4181,268.4166,91.6544,0,U,2826,999,8038,.53896842E-3,.3891E-4,0
LES-5,1967-066E,2026-09-20T11:38:48.950592,1.09426057,.00521393,2.8392,93.5914,214.8101,132.4011,0,U,2866,999,13207,0,-.11E-5,0
SURCAL 159,1967-053F,2026-09-20T10:09:49.444416,13.99621045,.00078497,69.9742,155.7503,331.6986,28.3694,0,U,2872,999,2353,.54796693E-4,.26E-6,0
OPS 5712 (P/L 153),1967-053H,2026-09-20T10:26:11.239584,13.96839647,.00047107,69.9718,271.1473,60.1607,299.9967,0,U,2874,999,2009,.46772942E-4,.12E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-09-20T22:43:43.103424,14.37960153,.0057428,87.6203,312.2301,275.1944,84.2704,0,U,5398,999,88764,.10507624E-3,.341E-5,0
OSCAR 7 (AO-7),1974-089B,2026-09-20T20:17:16.141344,12.53699611,.0011992,101.9920,278.0916,309.8790,223.8561,0,U,7530,999,37250,.33811067E-4,-.41E-6,0
STARLETTE,1975-010A,2026-09-20T22:49:38.355168,13.82351652,.02056,49.8227,86.5972,19.4111,341.4470,0,U,7646,999,60778,.325037E-5,-.14E-5,0
LAGEOS 1,1976-039A,2026-09-20T12:06:38.742048,6.38664886,.00446086,109.8187,211.9566,281.8415,229.1035,0,U,8820,999,91922,0,.1E-7,0
PHASE 3B (AO-10),1983-058B,2026-09-20T01:00:59.780448,2.05869937,.598033,25.9788,204.0605,141.6651,281.5604,0,U,14129,999,29744,0,-.6E-6,0
UOSAT 2 (UO-11),1984-021B,2026-09-20T15:49:08.593536,14.91002405,.00064423,97.8182,228.2394,220.0493,140.0251,0,U,14781,999,27135,.10904213E-3,.1022E-4,0
AJISAI (EGS),1986-061A,2026-09-20T22:48:35.578656,12.44517429,.00113608,50.0080,212.9253,63.9649,45.2037,0,U,16908,999,49231,-.5170169E-5,-.98E-6,0
TDRS 3,1988-091B,2026-09-20T05:08:16.452384,1.00272930,.00382867,12.5319,340.3632,352.1344,54.9007,0,U,19548,999,12634,0,-.295E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-09-20T11:20:45.423744,2.13156096,.00234244,65.0064,68.9402,217.3868,145.7571,0,U,19751,999,29340,0,.35E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-09-20T06:00:16.492032,2.13204769,.00208883,64.8723,307.2555,212.1970,154.3399,0,U,20026,999,29053,0,-.15E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-09-20T18:03:45.745056,1.00270159,.00030486,12.3970,350.5756,229.6071,176.1591,0,U,20253,999,26152,0,-.364E-5,0
LUSAT (LO-19),1990-005G,2026-09-20T20:00:55.714752,14.34144808,.00104913,98.8819,288.2602,287.1686,72.8349,0,U,20442,999,91610,.31525849E-4,.41E-6,0
HST,1990-037B,2026-09-20T08:43:38.557344,15.31701831,.00018755,28.4728,149.5930,116.6017,243.4771,0,U,20580,999,80317,.1402398E-3,.4652E-4,0
TDRS 5,1991-054B,2026-09-16T09:11:36.306240,1.00281594,.0009292,14.0607,353.0930,251.3156,81.4722,0,U,21639,999,12862,0,.84E-6,0
TDRS 6,1993-003B,2026-09-20T23:08:22.401024,1.00272773,.00096828,14.1861,356.3357,202.8449,102.0010,0,U,22314,999,12336,0,-.291E-5,0
SCD 1,1993-009B,2026-09-20T21:35:54.371040,14.46150295,.00421745,24.9707,336.5921,71.1437,89.4468,0,U,22490,999,77498,.31497726E-4,.301E-5,0
UFO 2 (USA 95),1993-056A,2026-09-17T22:38:28.597920,1.00272802,.00019526,11.9282,3.0270,242.9212,119.1892,0,U,22787,999,11948,0,.124E-5,0
STELLA,1993-061B,2026-09-20T23:05:53.685024,14.27472479,.00057091,98.7627,328.5104,326.8417,210.3326,0,U,22824,999,71843,-.2576146E-5,-.51E-6,0
EYESAT A (AO-27),1993-061C,2026-09-20T22:25:55.777440,14.30962179,.00085291,98.6788,331.2688,172.0347,188.0973,0,U,22825,999,72069,.27207192E-4,.27E-6,0
ITAMSAT (IO-26),1993-061D,2026-09-20T02:47:50.879040,14.31391062,.0009321,98.6736,330.3794,158.3201,201.8378,0,U,22826,999,72089,.29245765E-4,.33E-6,0
RADIO ROSTO (RS15),1994-085A,2026-09-20T08:49:57.789408,11.27583935,.01592757,64.8154,149.2817,346.7962,12.8818,0,U,23439,999,30663,.49157149E-4,-.41E-6,0
UFO 4 (USA 108),1995-003A,2026-09-19T15:14:56.274720,1.00269973,.00030083,9.7028,12.7651,165.3124,221.5410,0,U,23467,999,11590,0,-.21E-6,0
TDRS 7,1995-035B,2026-09-20T16:42:00.290880,1.00271847,.00107523,13.2984,347.5233,98.6128,253.2061,0,U,23613,999,11420,0,-.237E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-09-20T22:05:21.124896,1.00274889,.00062376,14.1071,3.0204,159.1216,79.0440,0,U,23712,999,3384,0,-.2E-5,0
POLAR,1996-013A,2026-09-20T13:08:17.246112,1.29845778,.6559533,80.0102,225.9084,205.7781,96.7364,0,U,23802,999,14609,0,.151E-5,0
INMARSAT 3-F1,1996-020A,2026-09-19T15:48:14.991840,1.00003580,.0007081,10.7950,45.7345,155.0923,203.1654,0,U,23839,999,11119,0,-.102E-5,0
USA 119,1996-029A,2026-09-20T11:27:44.316864,13.46509672,.08560029,63.3175,302.6239,50.6934,316.6873,0,U,23893,999,11810,.11448023E-3,.609E-5,0
JAS-2 (FO-29),1996-046B,2026-09-20T12:53:20.042592,13.53278379,.03493722,98.5163,99.3359,208.8473,149.2950,0,U,24278,999,48606,.41026079E-4,.4E-7,0
INMARSAT 3-F2,1996-053A,2026-09-18T12:08:28.000032,0.99979168,.0005694,10.0638,52.9607,123.2997,56.2790,0,U,24307,999,10985,0,.113E-5,0
INMARSAT 3-F3,1996-070A,2026-09-20T18:22:27.486624,0.99990394,.00061568,10.5216,48.7054,157.2268,16.4751,0,U,24674,999,10886,0,-.286E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-09-19T10:23:58.860960,2.00564524,.01060195,56.0492,94.8895,58.9668,302.1365,0,U,24876,999,21384,0,.18E-6,0
FORTE,1997-047A,2026-09-20T03:37:00.569856,14.27975783,.00205209,69.9535,159.5198,155.5347,204.6754,0,U,24920,999,51224,.58767108E-4,.88E-6,0
USA 134,1997-065A,2026-09-20T09:37:50.613600,1.00269548,.00026956,12.8966,20.9870,265.5276,105.0031,0,U,25019,999,3391,0,-.61E-6,0
ORBCOMM FM06,1997-084G,2026-09-19T18:14:49.284960,14.47755185,.00020392,45.0147,317.3603,260.2191,192.6000,0,U,25118,999,50809,.22523435E-3,.694E-5,0
INMARSAT 3-F5,1998-006B,2026-09-20T06:14:43.164384,1.00272823,.00045074,9.9008,52.2814,126.3005,220.3099,0,U,25153,999,10484,0,-.291E-5,0
ORBCOMM FM04,1998-007C,2026-09-20T13:33:23.484096,14.35870528,.00401734,107.9604,5.7208,162.2768,197.9783,0,U,25159,999,49028,.21889789E-3,.508E-5,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-09-20T14:35:08.558880,14.22506324,.00630564,108.0050,165.0129,328.8125,93.4351,0,U,25160,999,48408,.37769795E-4,-.44E-6,0
TECHSAT 1B (GO-32),1998-043D,2026-09-20T14:15:48.904128,14.24443464,.00007297,99.0159,258.7982,359.0153,1.1024,0,U,25397,999,46491,.28806577E-4,.2E-6,0
WESTPAC,1998-043E,2026-09-20T12:55:30.482400,14.23057788,.00006571,99.0245,251.8895,348.2776,11.8386,0,U,25398,999,46450,.1407143E-4,-.15E-6,0
ORBCOMM FM19,1998-046C,2026-09-20T07:14:00.159936,14.39643484,.00042545,44.9929,151.3917,52.6049,41.1894,0,U,25415,999,47048,.21617966E-3,.539E-5,0
ORBCOMM FM20,1998-046D,2026-09-20T09:24:29.752128,14.38176541,.00017463,44.9932,159.9469,21.0401,339.0519,0,U,25416,999,47049,.16412265E-3,.36E-5,0
ORBCOMM FM27,1998-053G,2026-09-20T23:31:16.100544,14.39284074,.00027155,45.0045,240.3121,310.5348,49.5264,0,U,25481,999,46403,.21055761E-3,.517E-5,0
SCD 2,1998-060A,2026-09-20T22:04:20.105760,14.45554475,.0016921,24.9943,201.7652,55.5422,356.4052,0,U,25504,999,47419,.41581506E-4,.331E-5,0
ISS (ZARYA),1998-067A,2026-09-20T18:54:10.699776,15.49200337,.00048194,51.6308,186.9475,163.3027,196.8121,0,U,25544,999,58657,.14793154E-3,.7766E-4,0
SWAS,1998-071A,2026-09-20T13:09:05.537664,15.10126154,.00028552,69.8975,341.5056,124.0142,236.1294,0,U,25560,999,51166,.14461935E-3,.2258E-4,0
ISS (UNITY),1998-069F,2026-09-20T18:54:10.699776,15.49200337,.00048194,51.6308,186.9475,163.3027,196.8121,0,U,25575,999,58674,.14793154E-3,.7766E-4,0
DLR-TUBSAT,1999-029B,2026-09-20T20:14:54.377088,14.52445803,.00152034,98.6774,262.5317,61.7346,298.5380,0,U,25757,999,44713,.23198404E-4,.46E-6,0
CXO,1999-040B,2026-09-21T13:52:52.584096,0.37796833,.76874294,57.4713,114.1840,309.3021,0.4302,0,U,25867,999,1768,0,.964E-5,0
ABS-6,1999-053A,2026-09-20T17:30:51.435072,1.00269877,.00013631,0.0285,134.6933,67.7221,218.9333,0,U,25924,999,9879,0,0,0
NAVSTAR 46 (USA 145),1999-055A,2026-09-20T00:50:25.327104,2.00557610,.01045841,51.3778,291.3092,180.3861,186.3140,0,U,25933,999,19748,0,-.17E-6,0
UFO 10 (USA 146),1999-063A,2026-09-20T03:07:36.234336,1.00275408,.00042166,9.9269,26.6930,195.1726,161.1531,0,U,25967,999,9829,0,-.187E-5,0
ORBCOMM FM32,1999-065C,2026-09-20T22:33:47.367648,14.37244978,.00065929,45.0147,79.9595,171.1629,188.9337,0,U,25982,999,40086,.1718315E-3,.374E-5,0
XMM-NEWTON,1999-066A,2026-09-22T02:08:06.034272,0.50124476,.46487449,63.9811,281.7312,63.1536,0.1689,0,U,25989,999,2349,0,.159E-5,0
TERRA,1999-068A,2026-09-20T21:53:54.119616,14.61162838,.00009858,97.9361,309.6188,310.2436,224.8631,0,U,25994,999,42358,.43167334E-4,.168E-5,0
